date,max_temperature,avg_temperature,min_temperature,max_dew_point,avg_dew_point,min_dew_point,max_humidity,avg_humidity,min_humidity,max_wind_speed,avg_wind_speed,min_wind_speed,rainfall
1/1/2014,90,83.7,79,75,72.3,70,79,69.1,55,13,6.5,0,9.07
3/1/2014,90,81.9,79,79,74,72,94,77.8,62,10,6.3,0,5.66
5/1/2014,88,82.4,77,77,73,72,89,74.3,58,10,4.8,0,3.26
10/1/2014,84,78.3,77,77,75.6,75,100,92,79,10,4,0,0.98
11/1/2014,84,79.3,77,77,73.7,72,100,83.9,70,14,6.9,0,0.02
13/1/2014,90,83.6,79,75,72.3,70,84,69.3,55,10,6.7,0,0
15/1/2014,86,80.8,75,75,71.8,68,94,74.8,62,12,4.8,0,2.01
18/1/2014,88,81.7,77,70,67.1,66,74,61.8,49,16,10.8,6,2.59
19/1/2014,90,81.3,75,73,67,64,79,62.6,46,14,8.6,2,0.63
21/1/2014,90,81.7,75,66,65,61,73,58.1,40,17,9.5,3,1.81
23/1/2014,90,81.5,75,72,67.9,66,78,63.9,49,14,9,3,1.07
24/1/2014,90,82.1,75,72,67.5,64,74,62.1,46,10,7.4,2,0.14
27/1/2014,91,83.8,79,72,67.1,63,74,57.7,43,12,8.2,1,3.47
28/1/2014,91,83.3,77,77,69.7,66,84,64.3,49,12,7.5,1,8.31
29/1/2014,90,82.8,79,77,72,68,94,71.2,49,13,6.6,0,0.02
30/1/2014,93,83.5,77,75,69.2,64,89,63.3,46,12,6.8,0,0.02
31/1/2014,91,83.1,77,77,68.5,63,89,62.6,46,10,7.1,1,0.14
1/2/2014,90,82,75,72,66.7,63,74,60.4,49,12,6.5,0,11.29
2/2/2014,90,81.6,73,72,68,64,83,64.3,49,14,5.7,1,1.36
3/2/2014,91,82,75,72,70.5,66,89,69.1,43,14,5.1,0,0.43
5/2/2014,90,80.7,72,75,71.9,68,94,75.9,59,10,3.5,0,0
9/2/2014,91,83.5,77,75,72.9,70,89,71.6,52,10,5.2,0,0.85
12/2/2014,90,82.8,77,79,74.9,73,94,78.5,62,14,4.5,0,0.01
14/2/2014,91,84.3,79,79,75.1,70,89,74.8,59,14,5.9,0,0
18/2/2014,93,85.5,81,79,75.8,73,89,73.8,55,10,4.3,0,0
19/2/2014,93,85.3,79,79,75.8,73,89,74.3,55,12,3.9,0,0.06
20/2/2014,91,84.3,81,79,75,72,84,74.1,59,21,7.1,0,1.77
22/2/2014,93,83.9,79,79,74.3,70,94,73.8,49,15,7.3,0,0
23/2/2014,91,83.6,77,77,75,72,89,76.4,55,13,5,0,0.01
27/2/2014,93,84.3,79,77,73.3,70,84,70.5,49,15,6.4,0,0.01
6/3/2014,91,83.6,77,77,72.7,66,94,71.4,49,13,5.8,0,0.22
8/3/2014,91,85.1,79,79,76.8,75,94,76.8,59,14,5.3,0,0
12/3/2014,93,85.1,79,77,73.2,70,84,68,49,15,6.1,0,0
13/3/2014,91,85.3,79,79,75.4,72,89,73.6,55,12,4.5,0,0
14/3/2014,93,85.8,81,79,75.3,72,84,71.7,56,12,6.5,0,0
20/3/2014,91,85,81,79,77.1,75,89,77.6,59,10,4.1,0,0
24/3/2014,93,85.9,81,79,74.6,72,84,69,52,14,6.8,3,0
25/3/2014,91,85.1,77,79,76.8,73,100,77.4,55,13,6.1,0,0
28/3/2014,93,86.9,82,81,78.8,77,89,76.5,63,13,4.8,0,0.29
29/3/2014,91,84.2,79,81,78.9,77,94,83.6,66,15,5.6,1,2.88
30/3/2014,90,84,79,81,78,77,94,82.8,66,12,4.9,0,17.8
31/3/2014,91,85.2,81,81,78.7,75,94,80.8,62,15,4.8,0,14.99
5/4/2014,88,81.2,73,81,77.3,72,100,88.1,70,18,4.7,0,29.78
6/4/2014,91,82.8,75,81,77.4,75,100,84.4,63,12,4.7,1,1.63
9/4/2014,91,83.9,79,79,77.9,75,94,82.7,62,10,3.8,0,14.39
11/4/2014,90,83.4,79,81,78.5,77,94,85.2,70,8,2.6,0,5.51
14/4/2014,90,84.2,79,81,77.8,75,89,81.2,70,9,3.8,0,14.54
18/4/2014,88,83.3,79,81,77.8,73,94,83.4,75,13,5.1,0,16.79
20/4/2014,90,84.7,81,81,79.3,77,94,83.7,70,12,5.6,1,6.87
21/4/2014,90,83.4,79,81,78.7,77,100,85.8,75,14,5.4,0,0.54
24/4/2014,88,82.4,79,81,78.7,77,94,88.4,79,13,4.6,0,0.01
26/4/2014,91,84.7,81,81,79,77,89,83,70,9,3.1,0,0.01
1/5/2014,88,83.7,79,81,78.7,77,94,84.9,75,10,3.6,0,17.14
4/5/2014,91,84.8,79,81,77.8,75,94,80,66,12,4.7,0,0.17
6/5/2014,91,83.2,77,81,78.6,75,100,86.6,66,12,4.1,0,0.01
7/5/2014,91,84.5,79,81,79.1,77,94,84.1,66,13,4.3,0,5.38
9/5/2014,91,85.3,79,82,79.3,77,94,82.5,66,10,4.7,1,24.07
10/5/2014,88,80.4,77,79,76.9,75,100,89.8,74,15,4.9,1,1.7
11/5/2014,90,83.7,77,81,77.5,75,94,82.3,70,10,4.1,0,1.44
12/5/2014,88,82.8,77,82,78.6,75,100,87.1,74,12,4,0,0.06
13/5/2014,90,83.1,77,81,78.6,75,100,86.5,70,10,3.2,0,0.27
15/5/2014,91,83,79,82,78.3,73,94,86.3,66,10,3.4,0,0.01
16/5/2014,91,83.8,79,81,77.5,77,94,82.2,66,8,3.5,0,0.09
22/5/2014,91,85,79,79,78.4,75,94,81,66,9,4.2,0,0.05
26/5/2014,90,82.5,79,82,79.3,77,100,89.6,70,8,2.7,0,101.12
10/6/2014,91,86.7,81,82,80.3,79,94,80.8,66,12,4.2,0,0
13/6/2014,93,85.5,81,81,78.4,77,94,79.9,59,9,3,0,30.39
15/6/2014,91,86.3,82,82,80.4,79,94,82.2,66,10,4,0,13.67
16/6/2014,93,87,84,81,78.4,75,84,75.5,63,15,7.7,1,1.17
17/6/2014,90,85.5,82,81,79.3,79,94,81.5,70,9,3.3,0,0
